,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Demanda (t),,,,,,,,,,Demanda  / SKU (t),,,,1.558.996,646.702,2.205.698,1.208.487,1.855.189,3.414.185
,,,,,,,,,,,,,,,,,,,,
,Ano Base,Compensada,Em Aberto,Total Contratada,Projetada,Em aberto + Projetada,DEMANDA TOTAL,,,,SKU,Ano Base,UF,material,Compensada,Em Aberto,Total Contratada,Projetada,Em aberto + Projetada,DEMANDA TOTAL
,,,,,,,,,,,<=2023-AC-METAL,<=2023,AC,METAL,66,18,83,74,92,157
,,,,,,,,,,,<=2023-PI-PAPEL,<=2023,PI,PAPEL,4.341,18,4.359,342,359,4.701
,,,,,,,,,,,<=2023-PB-METAL,<=2023,PB,METAL,345,19,363,33,52,397
,,,,,,,,,,,<=2023-AC-VIDRO,<=2023,AC,VIDRO,120,19,139,1,20,140
,,,,,,,,,,,<=2023-MT-METAL,<=2023,MT,METAL,439,19,458,53,72,511
,,,,,,,,,,,<=2023-DF-METAL,<=2023,DF,METAL,557,19,576,37,57,614
,,,,,,,,,,,<=2023-RO-METAL,<=2023,RO,METAL,175,19,195,75,94,269
,,,,,,,,,,,<=2023-PB-PLÁSTICO,<=2023,PB,PLÁSTICO,5.952,20,5.972,162,182,6.134
,,,,,,,,,,,2024-MS-METAL,2024,MS,METAL,300,20,320,53,73,373
,,,,,,,,,,,>2025-MT-METAL,>2025,MT,METAL,0,21,21,270,291,291
,,,,,,,,,,,<=2023-MG-PLÁSTICO,<=2023,MG,PLÁSTICO,33.068,496,33.564,1.355,1.852,34.920
,,,,,,,,,,,>2025-RJ-VIDRO,>2025,RJ,VIDRO,0,22,22,2.992,3.014,3.014
,,,,,,,,,,,2024-RR-METAL,2024,RR,METAL,11,22,34,18,40,52
,,,,,,,,,,,<=2023-RN-METAL,<=2023,RN,METAL,197,22,220,14,37,234
,,,,,,,,,,,2024-ES-PAPEL,2024,ES,PAPEL,7.537,24,7.561,923,947,8.483
,,,,,,,,,,,2024-AC-METAL,2024,AC,METAL,19,24,43,57,81,100
,,,,,,,,,,,<=2023-MS-METAL,<=2023,MS,METAL,1.426,27,1.453,82,108,1.534
,,,,,,,,,,,2024-RN-METAL,2024,RN,METAL,127,26,153,17,43,171
,,,,,,,,,,,<=2023-ES-METAL,<=2023,ES,METAL,562,28,589,80,107,669
,,,,,,,,,,,<=2023-TO-METAL,<=2023,TO,METAL,78,28,105,12,40,118
,,,,,,,,,,,<=2023-AL-METAL,<=2023,AL,METAL,1.478,29,1.506,31,60,1.537
,,,,,,,,,,,<=2023-BA-METAL,<=2023,BA,METAL,835,29,864,58,87,923
,,,,,,,,,,,>2025-AP-PAPEL,>2025,AP,PAPEL,0,29,29,778,807,807
,,,,,,,,,,,>2025-RJ-METAL,>2025,RJ,METAL,0,29,29,1.098,1.127,1.127
,,,,,,,,,,,<=2023-RR-METAL,<=2023,RR,METAL,97,30,126,27,57,154
,,,,,,,,,,,>2025-AL-PAPEL,>2025,AL,PAPEL,0,32,32,1.553,1.585,1.585
,,,,,,,,,,,2025-RR-METAL,2025,RR,METAL,0,32,32,65,97,97
,,,,,,,,,,,>2025-RO-PAPEL,>2025,RO,PAPEL,0,34,34,2.021,2.055,2.055
,,,,,,,,,,,<=2023-PA-METAL,<=2023,PA,METAL,385,35,421,50,85,471
,,,,,,,,,,,2024-BA-PLÁSTICO,2024,BA,PLÁSTICO,7.239,36,7.275,1.929,1.965,9.204
,,,,,,,,,,,2024-PE-METAL,2024,PE,METAL,314,37,351,50,88,402
,,,,,,,,,,,<=2023-AP-METAL,<=2023,AP,METAL,65,38,103,131,169,234
,,,,,,,,,,,>2025-PI-PAPEL,>2025,PI,PAPEL,0,39,39,2.018,2.057,2.057
,,,,,,,,,,,>2025-RO-PLÁSTICO,>2025,RO,PLÁSTICO,0,40,40,1.827,1.867,1.867
,,,,,,,,,,,<=2023-MT-VIDRO,<=2023,MT,VIDRO,1.111,40,1.151,13,53,1.165
,,,,,,,,,,,<=2023-RJ-METAL,<=2023,RJ,METAL,4.442,40,4.482,146,186,4.628
,,,,,,,,,,,>2025-TO-PLÁSTICO,>2025,TO,PLÁSTICO,0,41,41,1.368,1.409,1.409
,,,,,,,,,,,<=2023-RS-METAL,<=2023,RS,METAL,1.074,41,1.115,208,249,1.322
,,,,,,,,,,,>2025-AM-PAPEL,>2025,AM,PAPEL,0,41,41,2.679,2.720,2.720
,,,,,,,,,,,>2025-AP-PLÁSTICO,>2025,AP,PLÁSTICO,0,41,41,760,801,801
,,,,,,,,,,,2024-SC-PAPEL,2024,SC,PAPEL,16.788,45,16.834,2.282,2.327,19.115
,,,,,,,,,,,<=2023-PE-VIDRO,<=2023,PE,VIDRO,2.238,46,2.283,24,70,2.307
,,,,,,,,,,,>2025-PI-PLÁSTICO,>2025,PI,PLÁSTICO,0,46,46,1.917,1.963,1.963
,,,,,,,,,,,>2025-SE-PLÁSTICO,>2025,SE,PLÁSTICO,0,46,46,1.909,1.955,1.955
,,,,,,,,,,,>2025-AL-PLÁSTICO,>2025,AL,PLÁSTICO,0,47,47,1.828,1.874,1.874
,,,,,,,,,,,2025-AC-METAL,2025,AC,METAL,0,48,48,155,203,203
,,,,,,,,,,,2025-RR-VIDRO,2025,RR,VIDRO,0,48,48,51,99,99
,,,,,,,,,,,2024-MS-PAPEL,2024,MS,PAPEL,4.502,48,4.550,1.747,1.795,6.297
,,,,,,,,,,,<=2023-MG-METAL,<=2023,MG,METAL,2.435,49,2.484,127,176,2.611
,,,,,,,,,,,<=2023-RN-VIDRO,<=2023,RN,VIDRO,459,50,508,5,55,514
,,,,,,,,,,,<=2023-GO-PAPEL,<=2023,GO,PAPEL,20.675,51,20.726,2.447,2.498,23.173
,,,,,,,,,,,>2025-MA-PAPEL,>2025,MA,PAPEL,0,51,51,3.054,3.105,3.105
,,,,,,,,,,,>2025-TO-PAPEL,>2025,TO,PAPEL,0,53,53,1.211,1.264,1.264
,,,,,,,,,,,>2025-PB-PAPEL,>2025,PB,PAPEL,0,53,53,2.419,2.473,2.473
,,,,,,,,,,,>2025-SE-PAPEL,>2025,SE,PAPEL,0,53,53,3.234,3.288,3.288
,,,,,,,,,,,2024-RJ-PAPEL,2024,RJ,PAPEL,22.042,53,22.095,4.387,4.441,26.483
,,,,,,,,,,,2024-AP-VIDRO,2024,AP,VIDRO,7,54,61,4,58,65
,,,,,,,,,,,2025-AP-VIDRO,2025,AP,VIDRO,0,54,54,19,73,73
,,,,,,,,,,,<=2023-RO-VIDRO,<=2023,RO,VIDRO,255,54,309,4,57,313
,,,,,,,,,,,>2025-AM-PLÁSTICO,>2025,AM,PLÁSTICO,0,56,56,3.855,3.911,3.911
,,,,,,,,,,,>2025-RN-PLÁSTICO,>2025,RN,PLÁSTICO,0,57,57,2.230,2.287,2.287
,,,,,,,,,,,<=2023-RR-VIDRO,<=2023,RR,VIDRO,150,57,207,12,69,219
,,,,,,,,,,,2024-MA-VIDRO,2024,MA,VIDRO,564,59,624,139,199,763
,,,,,,,,,,,>2025-RN-PAPEL,>2025,RN,PAPEL,0,60,60,1.931,1.991,1.991
,,,,,,,,,,,2024-PR-PAPEL,2024,PR,PAPEL,18.085,61,18.146,2.522,2.582,20.667
,,,,,,,,,,,<=2023-SE-VIDRO,<=2023,SE,VIDRO,306,61,367,8,69,375
,,,,,,,,,,,<=2023-AM-METAL,<=2023,AM,METAL,924,62,986,322,384,1.308
,,,,,,,,,,,<=2023-MA-VIDRO,<=2023,MA,VIDRO,864,62,927,39,101,966
,,,,,,,,,,,2024-AP-METAL,2024,AP,METAL,2,62,65,116,178,181
,,,,,,,,,,,2025-AC-VIDRO,2025,AC,VIDRO,0,64,64,38,102,102
,,,,,,,,,,,>2025-PB-PLÁSTICO,>2025,PB,PLÁSTICO,0,65,65,2.380,2.445,2.445
,,,,,,,,,,,2025-TO-METAL,2025,TO,METAL,0,69,69,86,155,155
,,,,,,,,,,,<=2023-PA-VIDRO,<=2023,PA,VIDRO,576,69,645,11,79,655
,,,,,,,,,,,2024-AC-VIDRO,2024,AC,VIDRO,3,70,73,3,73,77
,,,,,,,,,,,2025-AP-METAL,2025,AP,METAL,0,70,70,276,346,346
,,,,,,,,,,,2024-RN-PLÁSTICO,2024,RN,PLÁSTICO,1.939,74,2.012,405,478,2.417
,,,,,,,,,,,>2025-MA-PLÁSTICO,>2025,MA,PLÁSTICO,0,79,79,3.392,3.471,3.471
,,,,,,,,,,,<=2023-ES-PLÁSTICO,<=2023,ES,PLÁSTICO,8.377,82,8.459,328,410,8.787
,,,,,,,,,,,<=2023-PR-METAL,<=2023,PR,METAL,2.439,83,2.522,301,384,2.823
,,,,,,,,,,,<=2023-RJ-VIDRO,<=2023,RJ,VIDRO,15.027,84,15.111,137,221,15.247
,,,,,,,,,,,<=2023-MG-PAPEL,<=2023,MG,PAPEL,45.475,84,45.560,1.620,1.704,47.180
,,,,,,,,,,,2024-AM-METAL,2024,AM,METAL,742,85,826,311,396,1.137
,,,,,,,,,,,>2025-MS-PAPEL,>2025,MS,PAPEL,0,85,85,4.071,4.156,4.156
,,,,,,,,,,,2024-TO-METAL,2024,TO,METAL,3,87,90,10,97,100
